월,일,위도,경도,누적 평균 습도(%),누적 평균 기온(°C),누적 평균 풍속(m/s),누적 평균 지면온도(°C),누적 평균 일 순복사(MJ/m2),지난 일 수,Target
5,3,33.25992,126.48917,50.592592592222225,16.422222222222224,1.6111111111111114,19.766666666666666,13.412721073786967,8,False
5,4,33.25992,126.48917,52.833333333,16.6,1.5550000000000002,20.23,13.526448966408271,9,False
5,5,33.25992,126.48917,53.39393939363636,16.80909090909091,1.4954545454545458,20.636363636363637,13.624953605825702,10,False
5,6,33.25992,126.48917,53.55555555499999,17.033333333333335,1.429166666666667,21.041666666666668,13.852414944013782,11,False
5,7,33.25992,126.48917,51.7179487176923,17.446153846153848,1.4230769230769234,21.446153846153848,13.953767640628106,12,False
5,8,33.25992,126.48917,49.595238095,17.835714285714285,1.4035714285714287,21.778571428571432,13.952069952011813,13,False
5,9,33.25992,126.48917,48.4,18.12,1.4000000000000001,22.06666666666667,14.019265288544359,14,False
5,10,33.25992,126.48917,48.3125,18.325,1.4093750000000003,22.400000000000002,14.108686208010337,15,True
8,30,33.25992,126.48917,77.0,26.5,1.25,29.8,17.13,0,False
8,31,33.25992,126.48917,72.0,26.45,1.15,29.4,16.795,1,False
9,1,33.25992,126.48917,72.44444444333334,26.633333333333336,1.0166666666666666,29.73333333333333,16.386666666666667,2,False
9,2,33.25992,126.48917,71.41666666500001,26.75,0.975,29.674999999999997,16.245,3,False
9,3,33.25992,126.48917,70.733333332,26.82,1.0,29.919999999999998,16.286,4,False
9,4,33.25992,126.48917,69.38888888833334,26.75,1.0083333333333333,29.916666666666668,16.14,5,False
9,5,33.25992,126.48917,68.42857142857143,26.599999999999998,1.0357142857142858,29.857142857142858,16.08857142857143,6,False
9,6,33.25992,126.48917,66.83333333375,26.275,1.0625,29.575,15.8625,7,False
9,7,33.25992,126.48917,66.66666666666667,26.0,1.0777777777777777,29.38888888888889,15.794444444444444,8,True
5,29,33.25992,126.48917,71.0,20.8,1.3,29.3,14.62,0,False
5,30,33.25992,126.48917,69.83333333499999,20.85,1.5750000000000002,25.6,11.335,1,False
5,31,33.25992,126.48917,67.33333333333333,20.866666666666667,1.7166666666666668,25.0,12.566666666666668,2,False
6,1,33.25992,126.48917,65.6666666675,21.075,1.6375000000000002,25.625,13.0675,3,False
6,2,33.25992,126.48917,66.266666668,20.98,1.6700000000000004,25.16,11.932,4,False
6,3,33.25992,126.48917,66.05555555666666,21.033333333333335,1.666666666666667,25.366666666666664,12.345,5,False
6,4,33.25992,126.48917,67.04761904857142,21.2,1.6142857142857145,25.41428571428571,11.610000000000001,6,False
6,5,33.25992,126.48917,68.50000000125,21.25,1.5625000000000002,25.224999999999998,11.3825,7,False
6,6,33.25992,126.48917,69.59259259333334,21.311111111111114,1.5055555555555558,25.2,11.383333333333333,8,False
6,7,33.25992,126.48917,70.766666667,21.26,1.475,25.089999999999996,11.136,9,False
6,8,33.25992,126.48917,72.39393939454546,21.33636363636364,1.4227272727272728,25.036363636363635,10.82090909090909,10,False
6,9,33.25992,126.48917,73.33333333416667,21.408333333333335,1.3791666666666667,25.341666666666665,11.065833333333332,11,False
6,10,33.25992,126.48917,73.61538461615385,21.484615384615385,1.4038461538461537,25.776923076923076,11.407692307692306,12,False
6,11,33.25992,126.48917,74.00000000071428,21.535714285714285,1.407142857142857,25.814285714285713,11.197142857142856,13,False
6,12,33.25992,126.48917,74.33333333399999,21.613333333333333,1.3766666666666665,25.913333333333334,11.017999999999999,14,False
6,13,33.25992,126.48917,74.500000000625,21.70625,1.3968749999999999,26.1875,11.233749999999999,15,False
6,14,33.25992,126.48917,74.76470588294117,21.77058823529412,1.4352941176470588,26.658823529411762,11.337647058823528,16,True
7,25,33.25992,126.48917,81.0,27.9,0.9,34.7,17.92,0,False
7,26,33.25992,126.48917,79.5,28.049999999999997,0.9750000000000001,34.25,17.53,1,False
7,27,33.25992,126.48917,81.77777777666667,28.13333333333333,0.9166666666666666,33.699999999999996,17.773333333333337,2,False
7,28,33.25992,126.48917,81.8333333325,28.324999999999996,0.9125,33.0,16.48,3,False
7,29,33.25992,126.48917,80.933333332,28.52,0.9199999999999999,33.519999999999996,16.924,4,False
7,30,33.25992,126.48917,80.11111111000001,28.716666666666665,0.9416666666666665,34.016666666666666,17.121666666666666,5,False
7,31,33.25992,126.48917,78.76190476142858,28.857142857142854,1.0142857142857142,33.27142857142857,17.19857142857143,6,False
8,1,33.25992,126.48917,77.00000000000001,29.024999999999995,1.2687499999999998,33.35,17.34,7,True
7,20,35.24435,128.15605,82.66666667,27.1,0.75,30.0,16.54,0,False
7,21,35.24435,128.15605,82.0,26.9,0.75,29.8,15.285,1,False
7,22,35.24435,128.15605,83.44444444333334,26.599999999999998,0.7333333333333334,29.166666666666668,12.770000000000001,2,False
7,23,35.24435,128.15605,83.0,26.775,0.8,29.85,13.572500000000002,3,False
7,24,35.24435,128.15605,82.333333334,26.919999999999998,0.8099999999999999,30.8,14.658000000000001,4,False
7,25,35.24435,128.15605,81.72222222333333,27.13333333333333,0.7749999999999999,31.53333333333333,15.051666666666668,5,False
7,26,35.24435,128.15605,80.76190476285714,27.3,0.7999999999999999,32.128571428571426,15.370000000000001,6,False
7,27,35.24435,128.15605,80.25000000125,27.3625,0.8125,32.574999999999996,15.51125,7,False
7,28,35.24435,128.15605,79.74074074222223,27.533333333333335,0.8111111111111111,33.14444444444444,15.913333333333334,8,False
7,29,35.24435,128.15605,79.23333333500001,27.68,0.82,33.66,16.208,9,True
9,18,35.24435,128.15605,78.33333333,20.4,0.6,22.5,10.91,0,False
9,19,35.24435,128.15605,78.33333333,19.85,0.675,22.3,12.55,1,False
9,20,35.24435,128.15605,77.33333333,19.433333333333334,0.65,22.166666666666668,12.979999999999999,2,False
9,21,35.24435,128.15605,77.666666665,19.225,0.5625,21.85,12.497499999999999,3,False
9,22,35.24435,128.15605,77.666666666,19.12,0.54,21.84,12.431999999999999,4,False
9,23,35.24435,128.15605,77.44444444333332,19.133333333333336,0.55,21.883333333333336,12.398333333333333,5,False
9,24,35.24435,128.15605,76.80952380857141,19.114285714285717,0.5571428571428572,22.042857142857144,12.59142857142857,6,False
9,25,35.24435,128.15605,76.41666666625,19.0375,0.58125,22.0375,12.65875,7,False
9,26,35.24435,128.15605,76.33333333333333,18.96666666666667,0.6055555555555556,22.07777777777778,12.604444444444445,8,False
9,27,35.24435,128.15605,76.533333333,19.000000000000004,0.595,22.220000000000002,12.356,9,False
9,28,35.24435,128.15605,76.48484848454545,19.03636363636364,0.6000000000000001,22.236363636363638,12.004545454545456,10,False
9,29,35.24435,128.15605,75.72222222166666,18.84166666666667,0.6208333333333333,22.058333333333337,12.033333333333333,11,False
9,30,35.24435,128.15605,75.28205128153846,18.630769230769232,0.6307692307692307,21.90769230769231,12.041538461538464,12,True
5,28,35.24435,128.15605,95.66666667,19.9,0.9,20.7,4.72,0,False
5,29,35.24435,128.15605,85.16666667,20.4,0.9,21.75,7.209999999999999,1,False
